Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
01-10-2002,150.1,152,154,150.85,151,152.25,152.18,11167
03-10-2002,152.25,151,153.4,151,153.1,152.9,152.73,7908
04-10-2002,152.9,150.1,154.9,150.1,153.2,154.5,153.21,8767
07-10-2002,154.5,154.85,154.85,151,154.5,154.05,153.09,11886
08-10-2002,154.05,152,154.65,152,154.5,154.1,153.4,4500
09-10-2002,154.1,155.5,156,152.3,153,152.55,154.09,7257
10-10-2002,152.55,152.55,152.85,151,151,151.85,152.12,2145
11-10-2002,151.85,153.85,153.85,150.55,151,151.2,151.73,5455
14-10-2002,151.2,153.45,153.9,149.3,149.3,150.65,152.17,2650
16-10-2002,150.65,151.3,152.45,149.5,151,150.4,150.55,4307
17-10-2002,150.4,151.7,151.7,148.8,149.4,149.4,149.45,3276
18-10-2002,149.4,150.95,151.2,150,150.95,150.05,150.64,8886
21-10-2002,150.05,153,153,148.05,149,149.1,149.37,2145
22-10-2002,149.1,149.4,151.1,148.6,150,150.2,150.27,6018
23-10-2002,150.2,148.25,150.05,148.25,148.35,148.95,149.22,7585
24-10-2002,148.95,148,149.9,142,143.9,143.05,145.18,5593
25-10-2002,143.05,145,145,135.65,138.45,137.6,138.84,5824
28-10-2002,137.6,138.6,139.5,133.2,133.2,133.9,136.49,1748
29-10-2002,133.9,137,137,133.6,134.95,134.1,135.21,1259
30-10-2002,134.1,135,137.8,131,133.9,132,134.23,2035
31-10-2002,132,133,145,131.1,137.25,137.5,135.68,5296
01-11-2002,137.5,139.4,139.5,135,135,135.55,136.81,5549
04-11-2002,135.55,136.05,137.9,132,132,135.45,135.65,1299
05-11-2002,135.45,123.15,136,123.15,131.5,131.85,132.01,2233
07-11-2002,131.85,134.95,136,130.15,130.2,131.65,134.15,3554
08-11-2002,131.65,135,135,130.2,133,133.7,133.17,5319
11-11-2002,133.7,132.9,132.9,127.15,127.25,128.15,130.69,5422
12-11-2002,128.15,133.5,133.5,127,129.7,130.5,130.44,8412
13-11-2002,130.5,133.8,134.9,130.9,134.9,133.5,132.97,7547
14-11-2002,133.5,125,136,125,134.5,134.2,132.88,19691
15-11-2002,134.2,135,138,133,133.1,133.25,133.99,3095
18-11-2002,133.25,135,135.2,132.9,133.4,133.4,133.31,4834
20-11-2002,133.4,138.8,139.9,133,139.9,137.05,136.52,38478
21-11-2002,137.05,136.25,140.85,136.25,140,140.1,138.24,23731
22-11-2002,140.1,142,147.9,138.3,140,140.15,142.99,18936
